,Référence,Cépage,Millésime,Notes,Prix
0,Domaine des Croix 2016  Corton Grèves,Pinot Noir,2016,94,79$
1,Domaine des Croix 2017 La Vigne au Saint  (Corton),Pinot Noir,2017,94,74$
2,Domaine des Croix 2016  Beaune,Pinot Noir,2016,90,41$
3,Domaine des Croix 2019  Beaune,Pinot Noir,2019,90,29$
4,Domaine des Croix 2017 Les Grèves Premier Cru  (Beaune),Pinot Noir,2017,94,74$
5,Domaine des Croix 2015  Beaune,Pinot Noir,2015,90,41$
6,Domaine des Croix 2018 Les Cent-Vignes Premier Cru  (Beaune),Pinot Noir,2018,93,57$
7,Domaine des Croix 2016 Grèves  (Corton),Pinot Noir,2016,95,112$
8,Domaine des Croix 2018 La Vigne au Saint  (Corton),Pinot Noir,2018,95,112$
9,Domaine des Croix 2019 Bressandes Premier Cru  (Beaune),Pinot Noir,2019,94,55$
10,Domaine des Croix 2018 Les Bressandes Premier Cru  (Beaune),Pinot Noir,2018,93,57$
11,Domaine des Croix 2014 Pertuisots Premier Cru  (Beaune),Pinot Noir,2014,92,58$
12,Domaine des Croix 2014  Corton-Charlemagne,Chardonnay,2014,95,122$
13,Domaine des Croix 2018 Les Peuillets Premier Cru  (Savigny-lès-Beaune),Pinot Noir,2018,92,50$
